title,artist,genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,popularity,has_win_award
I Walk on Guilded Splinters,Dr. John,blues,1968,90,29,65,-19,9,71,466,56,8,48,False
Goin' Back,The Byrds,art rock,1968,116,45,50,-10,12,55,206,36,3,47,False
Isfahan,Duke Ellington,adult standards,1967,173,7,25,-14,10,9,246,98,3,47,False
Hot Burrito #1,The Flying Burrito Brothers,alternative country,1969,157,43,40,-13,17,35,217,1,3,46,False
Over Under Sideways Down - The Mono Album,The Yardbirds,album rock,1966,97,86,53,-11,31,39,143,29,8,46,False
Honey,Bobby Goldsboro,adult standards,2008,93,35,50,-10,24,53,241,30,3,46,False
Everybody's Talkin',Fred Neil,american folk revival,1998,120,30,67,-13,15,57,165,52,3,46,False
She'd Rather Be With Me,The Turtles,brill building pop,1967,124,78,49,-11,15,94,142,27,3,46,False
Indian Reservation (The Lament of the Cherokee Reservation Indian),Paul Revere & The Raiders,brill building pop,1971,132,39,64,-13,9,21,172,28,8,46,False
Locomotive,Thelonious Monk,bebop,1967,112,44,67,-11,13,70,400,78,4,46,False
Rag Doll,Frankie Valli & The Four Seasons,adult standards,2003,121,53,50,-8,7,61,182,76,4,45,False
Telstar,The Tornados,british invasion,1962,146,75,20,-7,38,63,195,0,4,45,False
So Much In Love,The Tymes,beach music,1963,76,49,55,-10,45,44,140,79,3,45,False
This Eve of Parting,John Hartford,appalachian folk,2018,115,46,56,-12,21,34,153,18,3,44,False
Trouble Every Day,Frank Zappa,album rock,1966,121,78,31,-13,90,48,350,51,8,44,False
No Time,The Guess Who,album rock,1971,128,48,48,-14,5,12,219,8,6,44,False
The Game Of Love,Wayne Fontana & The Mindbenders,british invasion,1964,109,83,57,-4,19,96,127,9,3,43,False
Ringo,Lorne Greene,cowboy western,1964,111,52,56,-13,22,65,214,86,31,43,False
Black Christ of the Andes (St. Martin de Porres),Mary Lou Williams,bebop,1964,89,7,20,-20,13,6,400,98,3,42,False
Sheila,Tommy Roe,adult standards,1962,136,57,42,-9,6,48,127,28,11,42,False
Walkin' Back to Happiness,Helen Shapiro,adult standards,2017,97,67,65,-9,17,83,150,66,8,42,False
Barabajagal (with Jeff Beck Group),Donovan,art rock,1969,100,57,67,-17,8,68,200,10,7,42,False
On The Sunny Side Of The Ocean,John Fahey,drone folk,1965,116,73,48,-10,16,48,193,81,3,41,False
Ca' the Yowes,Shirley & Dolly Collins,british folk,2008,80,7,32,-10,27,32,208,76,3,41,False
Mr. Soul,Buffalo Springfield,blues rock,1969,135,55,67,-13,4,96,172,10,3,41,False
My Spiritual Indian,Eddie Palmieri,boogaloo,1969,121,92,48,-6,7,50,400,58,8,41,False
Myself When I Am Real,Charles Mingus,avant-garde jazz,1963,81,19,32,-17,8,10,456,99,4,41,False
This Diamond Ring,Gary Lewis & The Playboys,adult standards,2011,133,61,63,-11,14,78,137,33,3,41,False
Cry Like a Baby,The Box Tops,brill building pop,1968,133,47,67,-12,50,77,152,34,3,40,False
Red Rubber Ball,The Cyrkle,brill building pop,2002,92,52,61,-10,9,79,139,43,3,39,False
Lovely Sky Boat,Alice Coltrane,afropop,1968,119,43,34,-17,19,44,411,45,5,38,False
The Ballad of Bonnie & Clyde,Georgie Fame,british blues,1968,107,47,71,-10,25,74,190,71,9,38,False
A World Without Love,Peter And Gordon,brill building pop,2017,130,66,51,-10,11,75,161,23,6,37,False
Don't Break The Heart That Loves You,Connie Francis,adult standards,1996,73,41,39,-6,20,20,182,82,3,37,False
Live Wire,The Meters,afrobeat,1969,114,77,68,-12,17,96,160,27,4,36,False
Laugh Laugh,The Beau Brummels,brill building pop,2006,129,68,49,-9,10,75,177,30,5,30,False
Peppermint Twist Pt.1,Joey Dee,australian talent show,2019,199,73,42,-11,73,72,122,37,14,30,False
Bohemian Rhapsody - 2011 Mix,Queen,glam rock,1975,71,40,41,-10,30,22,354,27,5,84,True
Highway to Hell,AC/DC,album rock,1979,116,91,57,-5,16,42,208,6,13,83,False
Don't Stop Me Now - 2011 Mix,Queen,glam rock,1978,156,87,56,-5,78,61,209,5,17,82,True
Rocket Man (I Think It's Going To Be A Long Long Time),Elton John,glam rock,1972,137,53,60,-9,9,34,282,43,3,81,True
