title,artist,genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,popularity,has_win_award
Only Sixteen - 2004 Remaster,Craig Douglas,pop,2008,114,55,65,-10,36,59,136,63,4,29,False
Little Things Means A Lot,Jayne Mansfield,,2008,109,29,70,-15,16,63,172,36,4,29,False
Drinks On The House,Green Martini Keys,,2016,97,16,57,-16,11,15,181,100,5,28,False
Pachuko Hop,Ike Carpenter Orchestra,,2006,83,53,48,-9,34,80,135,59,3,28,False
Collette,Billy Fury,pop,1982,155,44,55,-10,10,73,112,82,4,27,False
Happy Days And Lonely Nights,Suzi Miller And Johnson Brothers,,2012,142,38,65,-8,13,69,146,43,3,27,False
Stairway Of Love,Terry Dene,,2015,93,62,62,-7,25,86,120,55,4,27,False
I've Waited So Long,Anthony Newley,,2012,137,36,27,-15,25,28,165,64,4,26,False
Held for Questioning,Rusty Draper,pop,1953,109,65,70,-2,14,85,146,79,3,26,False
Here Comes The Sun - Remastered 2009,The Beatles,rock,1969,129,54,56,-10,18,39,186,3,3,82,True
Come Together - Remastered 2009,The Beatles,rock,1969,165,38,53,-12,9,19,260,3,4,79,False
Sweet Caroline,Neil Diamond,pop,1969,63,13,53,-16,24,58,204,61,3,78,False
Yesterday - Remastered 2009,The Beatles,rock,1965,97,18,33,-12,9,32,126,88,3,78,False
Can't Help Falling in Love,Elvis Presley,pop,1961,100,29,40,-14,11,34,182,94,3,78,False
Fly Me To The Moon (In Other Words),Frank Sinatra,pop,1962,119,26,67,-14,6,37,147,45,5,76,False
I Want To Hold Your Hand - Remastered 2015,The Beatles,rock,2000,131,72,49,-6,31,87,146,39,5,74,False
White Room,Cream,rock,1968,110,58,55,-13,4,46,298,19,3,73,False
Build Me Up Buttercup,The Foundations,pop,1968,134,51,66,-7,28,85,178,31,3,72,False
My Way,Frank Sinatra,pop,1969,75,38,40,-7,12,23,277,70,3,72,False
Surfin' U.S.A. - Remastered,The Beach Boys,pop,1963,159,85,55,-6,11,97,149,66,4,71,False
Pinball Wizard,The Who,rock,1969,124,72,54,-9,26,47,181,2,4,69,False
L-O-V-E,Nat King Cole,pop,1992,78,37,43,-8,8,66,155,68,8,68,False
Please Mr. Postman,The Marvelettes,pop,1961,122,78,79,-5,18,97,148,73,3,68,False
Hey Jude - Remastered 2009,The Beatles,rock,1973,145,55,40,-10,9,67,431,3,3,67,False
Back In The U.S.S.R. - Remastered 2009,The Beatles,rock,1968,142,97,48,-7,6,49,163,7,9,66,False
Suite: Judy Blue Eyes - Remastered,Crosby Stills & Nash,rock,1969,154,36,45,-13,20,30,444,47,4,66,False
Waterloo Sunset - Mono Mix,The Kinks,rock,1967,108,69,51,-7,17,42,194,16,2,65,False
Baby I Need Your Loving,Four Tops,pop,1965,121,69,63,-6,19,65,166,44,4,63,False
Heart Full of Soul,The Yardbirds,rock,2002,141,67,49,-10,5,70,148,23,4,62,False
Gloria - Stereo Version,Them,blues|rock,2015,129,70,64,-10,10,72,157,40,5,62,False
It Takes Two,Marvin Gaye,r&b and soul,1966,151,48,52,-11,8,81,178,21,5,62,False
This Will Be Our Year,The Zombies,rock,1968,98,42,54,-7,19,54,128,63,3,61,False
Hey! Baby - Remastered,Bruce Channel,rock,2017,64,62,52,-6,27,64,144,36,4,60,False
Comment te dire adieu - It Hurts to Say Goodbye,Françoise Hardy,pop,2005,124,45,73,-12,11,84,146,20,6,59,False
Rhythm of the Rain,The Cascades,pop,1963,117,66,66,-8,14,67,146,63,4,59,False
What Becomes Of The Brokenhearted,Jimmy Ruffin,pop,1989,99,42,72,-13,57,60,176,62,3,59,False
Friday On My Mind,The Easybeats,rock,1965,95,99,37,-1,9,51,163,38,8,59,False
Today,Jefferson Airplane,rock,1967,90,31,51,-14,13,29,178,70,3,59,False
Always See Your Face,Love,rock,1969,110,58,57,-13,6,92,209,38,3,58,False
Astral Weeks - 1999 Remaster,Van Morrison,rock,1968,81,35,45,-15,14,61,426,54,3,58,False
Both Sides Now,Joni Mitchell,contemporary folk,1969,97,16,62,-15,14,33,275,91,3,58,False
Tous les garçons et les filles - Slow,Françoise Hardy,pop,1962,108,37,74,-10,14,89,188,81,3,57,False
"Ferry Cross the Mersey - Stereo, 1997 Remaster",Gerry & The Pacemakers,pop,1997,105,29,40,-11,12,61,144,55,3,56,False
Needles and Pins - Mono,The Searchers,pop,1964,124,95,56,-7,6,89,131,5,4,56,False
Little Bit Of Rain,Karen Dalton,country,1969,174,6,43,-22,10,36,157,93,4,56,False
Young Girl,Gary Puckett & The Union Gap,pop,1968,119,54,41,-8,51,45,194,65,3,56,False
Leaving Trunk,Taj Mahal,blues,1968,174,50,54,-11,17,95,290,20,5,55,False
Dream A Little Dream Of Me,Ella Fitzgerald,pop,1963,72,7,28,-24,11,22,246,93,8,54,False
The Old Man's Back Again (Dedicated To The Neo-Stalinist Regime),Scott Walker,pop,1969,91,45,42,-16,16,78,221,58,4,54,False
Pictures of Matchstick Men - Mono Version,Status Quo,rock,1968,173,60,24,-4,5,42,191,7,3,54,False
No Sugar Tonight / New Mother Nature,The Guess Who,rock,2000,101,83,51,-9,31,52,294,56,4,54,False
I'm Gonna Make You Love Me,Diana Ross & The Supremes,r&b and soul,1968,98,39,64,-12,26,43,187,39,4,54,False
Silence Is Golden,The Tremeloes,pop,1997,112,56,44,-7,24,58,191,6,3,53,False
Can't Take My Eyes Off You,Frankie Valli,pop,2017,124,78,58,-7,8,56,204,51,6,53,False
You Ain't Goin' Nowhere,The Byrds,rock,1968,132,43,51,-14,76,70,153,11,4,53,False
Everybody Knows This Is Nowhere - 2009 Remaster,Neil Young,rock,1969,158,64,52,-9,42,85,149,2,3,52,False
Everybody Needs Somebody To Love - Long Version,The Rolling Stones,rock,1965,178,73,53,-8,11,80,303,26,7,52,False
The Sun Ain't Gonna Shine Anymore,The Walker Brothers,pop,1998,111,68,38,-7,24,43,195,22,4,52,False
What the World Needs Now Is Love,Dionne Warwick,pop,2016,112,36,57,-10,14,40,190,92,4,51,False
Everlasting Love,Love Affair,pop,2012,121,60,50,-10,49,81,182,26,4,51,False
Itchycoo Park (Mono Version) - 2012 Remaster,Small Faces,rock,1967,127,56,61,-10,12,56,167,58,7,51,False
Here Comes the Night,Them,blues|rock,2015,99,58,64,-9,16,96,167,44,3,50,False
Surf City,Jan & Dean,pop,2010,148,81,53,-13,23,96,147,50,3,50,False
Crying,Roy Orbison,pop,2017,97,47,23,-6,32,21,179,57,3,49,False
You'll Never Walk Alone,Gerry & The Pacemakers,pop,2017,114,43,45,-6,22,29,160,42,3,49,False
Everybody Loves Somebody,Dean Martin,pop,2014,119,41,50,-12,35,46,164,86,4,49,False
Spanish Eyes,Al Martino,pop,1977,109,49,51,-9,9,49,167,36,3,49,False
I Walk on Guilded Splinters,Dr. John,blues,1968,90,29,65,-19,9,71,466,56,8,48,False
Goin' Back,The Byrds,rock,1968,116,45,50,-10,12,55,206,36,3,47,False
Isfahan,Duke Ellington,pop,1967,173,7,25,-14,10,9,246,98,3,47,False
Hot Burrito #1,The Flying Burrito Brothers,country,1969,157,43,40,-13,17,35,217,1,3,46,False
Over Under Sideways Down - The Mono Album,The Yardbirds,rock,1966,97,86,53,-11,31,39,143,29,8,46,False
Honey,Bobby Goldsboro,pop,2008,93,35,50,-10,24,53,241,30,3,46,False
Everybody's Talkin',Fred Neil,contemporary folk,1998,120,30,67,-13,15,57,165,52,3,46,False
She'd Rather Be With Me,The Turtles,pop,1967,124,78,49,-11,15,94,142,27,3,46,False
Indian Reservation (The Lament of the Cherokee Reservation Indian),Paul Revere & The Raiders,pop,1971,132,39,64,-13,9,21,172,28,8,46,False
Locomotive,Thelonious Monk,jazz,1967,112,44,67,-11,13,70,400,78,4,46,False
Rag Doll,Frankie Valli & The Four Seasons,pop,2003,121,53,50,-8,7,61,182,76,4,45,False
Telstar,The Tornados,rock,1962,146,75,20,-7,38,63,195,0,4,45,False
So Much In Love,The Tymes,r&b and soul,1963,76,49,55,-10,45,44,140,79,3,45,False
This Eve of Parting,John Hartford,contemporary folk,2018,115,46,56,-12,21,34,153,18,3,44,False
Trouble Every Day,Frank Zappa,rock,1966,121,78,31,-13,90,48,350,51,8,44,False
No Time,The Guess Who,rock,1971,128,48,48,-14,5,12,219,8,6,44,False
The Game Of Love,Wayne Fontana & The Mindbenders,rock,1964,109,83,57,-4,19,96,127,9,3,43,False
Ringo,Lorne Greene,country,1964,111,52,56,-13,22,65,214,86,31,43,False
Black Christ of the Andes (St. Martin de Porres),Mary Lou Williams,jazz,1964,89,7,20,-20,13,6,400,98,3,42,False
Sheila,Tommy Roe,pop,1962,136,57,42,-9,6,48,127,28,11,42,False
Walkin' Back to Happiness,Helen Shapiro,pop,2017,97,67,65,-9,17,83,150,66,8,42,False
Barabajagal (with Jeff Beck Group),Donovan,rock,1969,100,57,67,-17,8,68,200,10,7,42,False
On The Sunny Side Of The Ocean,John Fahey,contemporary folk,1965,116,73,48,-10,16,48,193,81,3,41,False
Ca' the Yowes,Shirley & Dolly Collins,contemporary folk,2008,80,7,32,-10,27,32,208,76,3,41,False
Mr. Soul,Buffalo Springfield,blues|rock,1969,135,55,67,-13,4,96,172,10,3,41,False
My Spiritual Indian,Eddie Palmieri,r&b and soul,1969,121,92,48,-6,7,50,400,58,8,41,False
Myself When I Am Real,Charles Mingus,jazz,1963,81,19,32,-17,8,10,456,99,4,41,False
This Diamond Ring,Gary Lewis & The Playboys,pop,2011,133,61,63,-11,14,78,137,33,3,41,False
Cry Like a Baby,The Box Tops,pop,1968,133,47,67,-12,50,77,152,34,3,40,False
Red Rubber Ball,The Cyrkle,pop,2002,92,52,61,-10,9,79,139,43,3,39,False
Lovely Sky Boat,Alice Coltrane,pop,1968,119,43,34,-17,19,44,411,45,5,38,False
The Ballad of Bonnie & Clyde,Georgie Fame,blues,1968,107,47,71,-10,25,74,190,71,9,38,False
A World Without Love,Peter And Gordon,pop,2017,130,66,51,-10,11,75,161,23,6,37,False
Don't Break The Heart That Loves You,Connie Francis,pop,1996,73,41,39,-6,20,20,182,82,3,37,False
Live Wire,The Meters,electronic,1969,114,77,68,-12,17,96,160,27,4,36,False
Laugh Laugh,The Beau Brummels,pop,2006,129,68,49,-9,10,75,177,30,5,30,False
Peppermint Twist Pt.1,Joey Dee,pop,2019,199,73,42,-11,73,72,122,37,14,30,False
Bohemian Rhapsody - 2011 Mix,Queen,rock,1975,71,40,41,-10,30,22,354,27,5,84,True
Highway to Hell,AC/DC,rock,1979,116,91,57,-5,16,42,208,6,13,83,False
Don't Stop Me Now - 2011 Mix,Queen,rock,1978,156,87,56,-5,78,61,209,5,17,82,True
Rocket Man (I Think It's Going To Be A Long Long Time),Elton John,rock,1972,137,53,60,-9,9,34,282,43,3,81,True
We Will Rock You - Remastered,Queen,rock,1977,81,50,69,-7,26,48,122,68,12,79,False
Let It Be - Remastered 2009,The Beatles,rock,1970,143,40,44,-8,11,41,243,63,3,79,False
Mr. Blue Sky,Electric Light Orchestra,rock,1977,178,34,39,-10,25,48,303,65,3,79,False
Tiny Dancer,Elton John,rock,1971,145,43,41,-11,15,28,377,38,3,79,False
Dreams - 2004 Remaster,Fleetwood Mac,rock,1977,120,49,83,-10,13,79,258,6,3,79,False
I Was Made For Lovin' You,KISS,rock,1979,128,85,77,-6,7,87,271,21,4,78,False
Immigrant Song - Remaster,Led Zeppelin,rock,1970,113,93,56,-10,35,62,146,1,6,77,False
Imagine - Remastered,John Lennon,rock,1971,76,26,55,-12,9,17,188,91,3,77,False
How Deep Is Your Love,Bee Gees,pop,1979,105,36,63,-9,13,67,245,11,3,77,False
We Are The Champions - Remastered 2011,Queen,rock,1977,64,46,27,-7,12,18,179,38,3,76,False
Don't Go Breaking My Heart,Elton John,rock,1975,131,84,73,-9,6,78,275,15,3,75,False
Somebody To Love - 2011 Mix,Queen,rock,1976,109,70,41,-7,23,33,296,19,6,75,False
Rock And Roll All Nite,KISS,rock,1975,145,93,65,-6,5,90,169,5,10,75,False
Listen to the Music,The Doobie Brothers,rock,1972,106,60,65,-13,7,91,227,22,3,75,False
Take It Easy - 2013 Remaster,Eagles,rock,1972,139,67,57,-10,13,74,212,34,3,75,False
Smoke On The Water - Remastered 2012,Deep Purple,rock,1972,114,68,60,-9,11,81,341,13,3,75,False
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,pop,1979,120,49,75,-10,16,54,293,2,4,74,False
Love Of My Life - Remastered 2011,Queen,rock,1975,154,18,33,-12,12,26,217,93,3,74,False
Father And Son,Yusuf / Cat Stevens,contemporary folk,1970,136,33,50,-11,10,40,221,59,3,74,False
Rebel Rebel - 2016 Remaster,David Bowie,rock,1974,126,69,64,-16,28,46,275,21,5,74,False
You're The One That I Want - From â€œGreaseâ€,John Travolta,hollywood,1978,107,61,76,-11,10,82,170,28,6,74,False
The Boys Are Back In Town,Thin Lizzy,rock,1976,81,71,45,-10,21,77,267,23,5,74,False
Brandy (You're a Fine Girl),Looking Glass,pop|rock,1972,125,63,72,-11,13,83,187,40,6,73,False
Starman - 2012 Remaster,David Bowie,rock,1972,100,45,49,-10,54,55,254,17,3,73,False
Mamma Mia,ABBA,pop,1975,138,75,75,-7,47,83,213,30,3,72,False
Life in the Fast Lane - 2013 Remaster,Eagles,rock,1976,110,76,67,-7,5,88,286,10,7,72,False
Rock with You - Single Version,Michael Jackson,pop,1979,114,54,81,-13,16,85,221,18,4,72,False
Another Brick In The Wall Pt. 2 - 2011 Remastered Version,Pink Floyd,rock,1979,104,39,69,-16,25,72,239,8,4,72,False
YMCA - Original Version 1978,Village People,electronic|r&b and soul,1978,127,97,72,-5,12,73,287,6,14,71,False
Take Me Home Country Roads,John Denver,pop,1971,82,40,46,-9,12,63,190,76,3,70,False
Reelin' In The Years,Steely Dan,rock,1972,135,76,52,-10,11,71,275,12,4,70,False
Mandy,Barry Manilow,pop,1974,104,46,31,-9,14,32,213,42,3,69,False
Everything I Own,Bread,pop,1972,79,34,37,-13,10,45,187,74,3,69,False
Sailing,Rod Stewart,pop,1975,129,37,43,-10,32,19,278,37,3,68,False
Detroit Rock City,KISS,rock,1978,91,90,55,-7,29,46,216,4,7,68,False
Let Your Love Flow,The Bellamy Brothers,country,1976,109,55,68,-15,14,95,199,6,3,68,False
You Ain't Seen Nothing Yet,Bachman-Turner Overdrive,rock,1974,118,44,48,-15,22,76,235,0,4,68,False
Are You Ready For Love? - Remastered,Elton John,rock,2017,117,75,80,-5,11,75,212,25,3,67,False
Guilty (feat. Barry Gibb),Barbra Streisand,pop,1980,151,43,63,-16,11,95,264,23,4,67,False
Fat Bottomed Girls - 2011 Remaster,Queen,rock,1978,89,68,33,-8,34,42,256,3,5,67,False
Love Really Hurts Without You,Billy Ocean,rock,2016,141,90,52,-4,10,96,179,0,3,66,False
Your Song,Elton John,rock,1990,128,33,55,-11,11,30,241,78,3,66,False
Here You Come Again,Dolly Parton,classic country pop,1977,106,51,53,-9,4,56,179,65,4,66,False
Move On Up,Curtis Mayfield,r&b and soul,1970,139,97,54,-6,12,93,166,42,9,66,False
Waterloo,ABBA,pop,1974,148,95,45,-5,9,65,169,40,5,66,False
A Song for You,Donny Hathaway,r&b and soul,1971,88,22,32,-13,25,7,326,82,4,65,False
"Evergreen (Love Theme from, ""A Star Is Born"")",Barbra Streisand,pop,1976,114,30,34,-11,9,19,185,93,3,65,False
Dancing Queen,ABBA,pop,2008,101,93,51,-4,56,68,231,17,5,65,False
Can't You See,The Marshall Tucker Band,rock,1973,164,71,41,-5,11,58,365,28,3,65,False
Won't Get Fooled Again - Original Album Version,The Who,rock,1971,135,92,69,-6,8,23,511,30,6,65,False
Bennie And The Jets - Remastered 2014,Elton John,rock,1973,133,67,67,-8,50,78,323,26,5,65,False
Sunny,Boney M.,electronic|r&b and soul,1976,122,87,65,-6,13,80,242,9,11,64,False
It's A Shame,The Spinners,r&b and soul,1970,199,64,37,-12,12,71,190,9,6,64,False
Voulez-Vous,ABBA,pop,1979,127,77,71,-7,17,90,309,15,4,63,False
Goodbye Yellow Brick Road - Remastered 2014,Elton John,rock,1973,121,47,56,-8,15,40,193,45,3,63,False
Since You Been Gone,Rainbow,rock,1997,121,60,73,-10,60,94,198,37,4,63,False
Sorry Seems To Be The Hardest Word,Elton John,rock,1976,118,22,37,-13,20,11,229,83,3,62,False
You To Me Are Everything,The Real Thing,electronic,1999,102,91,64,-8,8,82,210,23,10,62,False
Please Mr. Postman,Carpenters,pop,1975,133,55,66,-12,24,96,173,14,3,62,False
Stumblin' In - 2017 Remaster,Suzi Quatro,pop,1978,129,72,76,-11,35,92,240,13,3,61,False
Lady Writer,Dire Straits,rock,1979,148,81,63,-9,7,96,225,10,3,61,False
Knowing Me Knowing You,ABBA,pop,1976,107,73,55,-7,24,91,242,4,3,61,False
Ophelia - Remastered 2000,The Band,rock,1975,92,68,83,-7,33,95,213,68,3,61,False
I Will Survive - Extended Version,Gloria Gaynor,electronic|r&b and soul,2019,116,85,76,-5,27,59,197,6,5,61,False
Sweet Virginia,The Rolling Stones,rock,1972,107,74,48,-5,26,56,267,50,4,60,False
The Way We Were,Barbra Streisand,pop,1974,138,32,26,-12,13,17,211,89,3,60,False
September Earth, Wind & Fire,electronic|r&b and soul,2014,126,83,69,-7,25,98,215,17,3,60,False
Doctor Doctor - 2007 Remaster,UFO,rock,1974,143,80,30,-7,50,56,252,0,5,60,False
Ain't No Mountain High Enough,Diana Ross,pop,2017,99,79,39,-5,38,38,215,19,4,60,False
Baby Come Back,Player,pop|rock,2007,157,57,65,-11,12,56,214,5,11,59,False
Boulder to Birmingham - Remastered,Emmylou Harris,country|rock,1975,126,32,48,-11,10,31,213,78,3,59,False
S.O.S.,ABBA,pop,1975,125,71,42,-6,29,58,202,25,3,59,False
Now That We Found Love,The O'Jays,r&b and soul,1973,114,65,72,-8,27,96,281,25,4,59,False
Fire on the Mountain,The Marshall Tucker Band,rock,1975,102,83,51,-6,16,57,236,11,4,58,False
Lost in Music,Sister Sledge,pop,1979,114,84,76,-8,10,85,287,5,3,58,False
You Make Me Feel Like Dancing,Leo Sayer,pop,1976,96,73,73,-5,11,71,221,8,5,57,False
The Boss,Diana Ross,pop,1979,124,91,64,-4,21,83,241,24,5,57,False
Come and Get Your Love,Redbone,native american,2003,106,79,67,-6,8,85,300,13,5,56,False
Moviestar,Harpo,pop,1976,119,79,55,-8,33,71,202,29,3,56,False
Easy Livin',Uriah Heep,rock,1972,161,84,26,-7,28,46,157,0,10,56,False
Three Times A Lady,Commodores,pop,2008,151,13,37,-17,14,20,215,94,3,56,False
Living Next Door to Alice,Smokie,pop,1975,126,40,59,-15,25,78,208,11,4,56,False
Dancing In The Moonlight,King Harvest,pop|rock,1973,136,72,65,-5,41,68,178,68,4,56,False
You Are Everything,Diana Ross,pop,1973,150,53,52,-10,14,50,190,3,5,56,False
I Want You,Marvin Gaye,r&b and soul,1976,101,79,52,-10,24,74,274,85,3,56,False
Love Comes To Everyone - 2004 Mix,George Harrison,rock,1979,107,68,72,-9,5,51,276,7,4,55,False
Rock Your Baby,George McCrae,electronic|r&b and soul,2001,104,77,59,-11,7,95,201,31,4,55,False
The Shape I'm In - Remastered 2000,The Band,rock,1970,128,67,72,-8,30,96,241,24,4,54,False
Midnight Train to Georgia - Short Version,Gladys Knight & The Pips,pop,1973,177,42,44,-10,19,39,199,7,8,53,False
Daddy Cool,Boney M.,electronic|r&b and soul,1994,125,63,75,-12,23,96,206,25,4,53,False
Sad Eyes - Remastered,Robert John,pop|rock,2002,107,46,43,-7,13,69,253,60,3,53,False
I Feel Love - Edit,Donna Summer,pop,2018,126,91,66,-9,8,94,227,3,4,52,False
Just Got Paid,ZZ Top,rock,1972,100,69,57,-11,12,63,267,29,4,52,False
Killer Queen - 2011 Mix,Queen,rock,1974,117,65,54,-6,13,61,180,39,5,51,False
I'd Really Love to See You Tonight - 2012 Collection Remaster,England Dan,pop,2012,119,77,58,-5,17,67,158,20,3,50,False
I Got Lucky,Elvis Presley,pop,1971,93,39,73,-12,20,96,116,84,4,49,False
Baretta's Theme,Sammy Davis Jr.,pop,2002,105,91,64,-8,28,69,146,35,6,48,False
One of These Days,Emmylou Harris,country|rock,1975,125,39,66,-9,12,68,184,45,3,46,False
My Heart Belongs to Me,Barbra Streisand,pop,1977,139,21,27,-16,18,30,201,74,3,44,False
Telegram Sam,T. Rex,rock,1972,123,94,52,-4,9,44,226,2,12,40,False
Livin' On A Prayer,Bon Jovi,metal,1986,123,89,53,-4,29,80,249,8,3,83,False
Africa,TOTO,rock,1982,93,37,67,-18,5,73,296,26,3,83,True
Another One Bites The Dust - Remastered 2011,Queen,rock,1980,110,53,93,-6,16,75,215,11,16,82,True
Break My Stride,Matthew Wilder,electronic,1983,110,59,92,-11,9,83,184,20,6,81,True
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,pop,1987,119,82,71,-9,9,87,291,21,5,80,True
Summer Of '69,Bryan Adams,rock,1984,139,83,51,-6,7,77,216,2,4,80,True
You Give Love A Bad Name,Bon Jovi,metal,1986,123,96,54,-3,34,81,223,7,5,80,True
Everybody Wants To Rule The World,Tears For Fears,rock,1985,112,80,65,-12,10,54,251,35,5,80,True
I'm Still Standing,Elton John,rock,1983,177,90,50,-7,14,77,183,36,18,79,False
Last Christmas,Wham!,rock,2019,108,58,74,-9,18,94,265,19,3,78,False
Uptown Girl,Billy Joel,rock,1983,129,94,70,-3,60,79,198,7,5,77,False
